Category,Link,Title,Abstract
Agriculture,https://www.insee.fr/fr/statistiques/3286347,Les comptes prévisionnels de l’agriculture pour 2017,"En 2017, la valeur de la production agricole se redresse (+ 2,4 %), du fait des volumes produits, sans compenser la chute de 2016 (– 6,6 %). Celle de la production végétale n’augmente que très légèrement : la forte remontée des volumes est en grande partie neutralisée par la baisse des prix. En revanche, la valeur de la production animale s’accroît nettement : les volumes poursuivent leur repli, mais les prix, notamment du lait, se redressent fortement.Dans le même temps, les charges des agriculteurs se réduisent pour la quatrième année consécutive. Cette évolution favorable vient s’ajouter à la hausse de la valeur de la production. Par conséquent, la valeur ajoutée de la branche agricole se raffermirait nettement. L’emploi agricole continue par ailleurs à décroître. Au total, d’après les estimations du compte prévisionnel de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif augmenterait de 7,7 % en 2017 en termes réels, après une baisse de 8,4 % en 2016."
Agriculture,https://www.insee.fr/fr/statistiques/8211334,Le compte provisoire de l’agriculture en 2023,"En 2023, d’après les estimations du compte provisoire de l’agriculture, la production agricole en valeur se replierait de 1,5 %, dans un contexte mondial de retombée des prix des céréales et des matières premières après deux années de fortes hausses.La production végétale progresserait de 6,3 % en volume. Elle baisserait pourtant de 5,8 % en valeur, du fait d’un recul des prix (‑11,4 %). La production animale s’élèverait de 4,9 % en valeur, l’augmentation des prix (+6,8 %) faisant plus que compenser la baisse des volumes (‑1,8 %).Les consommations intermédiaires augmenteraient de 1,3 % en valeur. Les prix des engrais s’élèveraient de nouveau, mais ceux de l’alimentation animale et de l’énergie diminueraient. Après s’être accrue pendant deux ans, la valeur ajoutée de la branche agricole serait en recul, la production étant en repli alors que les consommations intermédiaires s’élèvent. Au total, la valeur ajoutée brute au coût des facteurs par actif en termes réels diminuerait de 9,6 %, après avoir progressé de 8,7 % en 2021 et de 14,4 % en 2022."
Agriculture,https://www.insee.fr/fr/statistiques/7734536,Le compte prévisionnel de l’agriculture pour 2023,"En 2023, d'après les estimations du compte prévisionnel de l'agriculture, la production agricole en valeur se replierait de 0,8 %, dans un contexte mondial de retombée des prix des céréales et des matières premières après deux années de fortes hausses. Les productions végétales progresseraient de 6,1 % en volume. Les récoltes de céréales augmenteraient de 5,8 %, avec le retour à des conditions météorologiques moins pénalisantes que celles de l'été 2022. La production viticole s'accroîtrait encore de 3,3 %, après la forte hausse de l'année précédente. Au total, la production végétale baisserait pourtant de 4,6 % en valeur, du fait d'un recul des prix (-10,1 %). La production animale s'élèverait de 5,2 % en valeur, l'augmentation des prix faisant plus que compenser la baisse des volumes. Les consommations intermédiaires augmenteraient de 2,5 % en valeur, sous l'effet principalement d'une nouvelle hausse du prix des engrais. Après s'être accrue pendant deux ans, la valeur ajoutée de la branche agricole serait en recul, la production étant en repli alors que les consommations intermédiaires s'élèvent. Au total, la valeur ajoutée brute au coût des facteurs par actif en termes réels diminuerait de 9,0 %, après avoir progressé de 13,1 % en 2021 puis de 9,6 % en 2022."
Agriculture,https://www.insee.fr/fr/statistiques/7645553,Le compte provisoire de l'agriculture pour 2022,"En 2022, la production agricole en valeur augmente de 16,6 % dans un contexte mondial de renchérissement de l’énergie et des matières premières et agricoles. Les conditions météorologiques extrêmement chaudes et sèches de l’été ont fortement pénalisé les récoltes de céréales, protéagineux, betteraves et pommes de terre. La production de céréales diminue ainsi de 11,0 % en volume. En revanche, la production viticole s’accroît de 34,9 % en volume. Au total, la production végétale progresse légèrement en volume (+1,7 %), mais notablement en valeur (+17,4 %) du fait de l’évolution des prix. La production animale s’élève de 17,5 % en valeur, l’augmentation des prix faisant plus que compenser la baisse des volumes. Les consommations intermédiaires augmenteraient de 15,7 % en valeur, en raison de l’envolée des prix de l’alimentation animale, des produits énergétiques et des engrais. Toutefois, la valeur ajoutée de la branche agricole progresserait de nouveau nettement, avec la forte hausse de la valeur de la production. Au total, d’après les estimations du compte provisoire de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif augmenterait de 9,6 % en termes réels, après 13,1 % en 2021."
Agriculture,https://www.insee.fr/fr/statistiques/6675125,Le compte prévisionnel de l’agriculture pour 2022,"En 2022, la production agricole en valeur progresse de 17,4 % dans un contexte mondial de renchérissement de l’énergie et des matières premières et agricoles.Les conditions météorologiques extrêmement chaudes et sèches de l’été ont fortement pénalisé les récoltes de céréales, protéagineux, betteraves et pommes de terre. La production de céréales diminue ainsi de 10,9 % en volume. En revanche, la production viticole s’accroît de 32,2 % en volume, bien que plusieurs vignobles aient été touchés par la chaleur ou par la grêle. Résultant de ces évolutions contraires et dominée par l’évolution des prix, la production végétale progresse légèrement en volume (+ 3,1 %), mais notablement en valeur (+ 18,6 %). La production animale s’élève de 17,3 % en valeur, l’augmentation des prix surcompensant la baisse des volumes.Les consommations intermédiaires augmentent de 12,4 % en valeur, en raison de l’envolée des prix de l’alimentation animale, des produits énergétiques et des engrais. Sous l’effet de la forte hausse de la valeur de la production, la valeur ajoutée de la branche agricole progresse toutefois de nouveau nettement. Au total, d’après les estimations du compte prévisionnel de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif augmenterait de 16,4 % en termes réels, après 11,5 % en 2021."
Agriculture,https://www.insee.fr/fr/statistiques/6465298,Le compte provisoire de l'agriculture pour 2021,"En 2021, la production agricole en valeur augmente de 7,7 %. Cette forte augmentation est dominée par l’évolution des prix dans le contexte général de hausse du prix des matières premières. La hausse de la valeur de la production agricole est surtout marquée pour la production végétale (+ 12,0 %), en particulier celle des céréales qui augmente de moitié, stimulée par la poussée conjuguée des volumes et des prix. En revanche, la production viticole connaît une baisse considérable en volume (– 17,6 %). La valeur de la production animale croît à un rythme modéré (+ 1,7 %), l’augmentation des prix compensant la baisse des volumes.Dans le même temps, les consommations intermédiaires des agriculteurs augmentent de 3,3 %, du fait essentiellement du renchérissement des prix de l’énergie et de l’alimentation animale. Sous l’effet de la forte hausse de la valeur de la production et de l’accroissement moins marqué des consommations intermédiaires, la valeur ajoutée de la branche agricole progresse nettement. Au total, d’après les estimations du compte provisoire de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif augmente de 11,5 % en 2021 en termes réels, après une baisse de 1,1 % en 2020."
Agriculture,https://www.insee.fr/fr/statistiques/6009808,Le compte prévisionnel de l’agriculture pour 2021,"En 2021, la production agricole en valeur augmente de 7,5 %. Cette forte augmentation est dominée par l’évolution des prix dans le contexte général de hausse du prix des matières premières. La hausse de la production agricole est surtout marquée pour la production végétale, en particulier celle des céréales (+ 46,2 %), stimulée par la poussée conjuguée du volume et des prix. En revanche, la production viticole connaît une baisse historique des volumes (– 19,4 %). La valeur de la production animale croît à un rythme modéré, la baisse des volumes atténuant l’augmentation des prix.Dans le même temps, les consommations intermédiaires des agriculteurs augmentent de 2,8 %, du fait essentiellement du renchérissement des prix de l’énergie et de l’alimentation animale. Sous l’effet de l’accroissement modéré des charges et de la forte hausse de la production, la valeur ajoutée de la branche agricole progresse nettement. Au total, d’après les estimations du compte prévisionnel de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif augmenterait de 11,2 % en 2021 en termes réels, après une baisse de 3,0 % en 2020."
Agriculture,https://www.insee.fr/fr/statistiques/5434584,Le niveau de vie des ménages agricoles est plus faible dans les territoires d’élevage,"En France, les trois quarts des agriculteurs exploitants sont des hommes, et plus de la moitié ont 50 ans ou plus. Le niveau de vie médian des ménages agricoles est comparable à celui de l’ensemble des ménages ayant des revenus d’activité. Cependant, les disparités au sein des ménages agricoles sont plus fortes et ils sont plus souvent touchés par la pauvreté monétaire.En moyenne, seul un tiers des ressources des ménages agricoles provient de l’activité agricole. La majorité de leurs revenus sont issus d’autres activités, en particulier celles du conjoint, et un cinquième sont issus du patrimoine, notamment sous la forme de fermages. Cette répartition est très hétérogène selon l’orientation agricole des territoires.Les revenus agricoles sont plus faibles dans les territoires d’élevage que dans ceux de production végétale. Ils sont particulièrement bas dans les territoires d’élevage de bovins viande. En revanche, ils sont souvent plus élevés dans les territoires viticoles et dans ceux combinant diverses grandes cultures."
Agriculture,https://www.insee.fr/fr/statistiques/5407390,Le compte provisoire de l'agriculture pour 2020,"En 2020, la production agricole en valeur diminue de 1,9 %. La crise sanitaire a globalement moins touché l’agriculture que les autres activités économiques, même si l’impact sur les conditions de production des filières est bien réel. Ses effets sur la demande sont difficiles à mesurer du fait du repli sur la consommation à domicile, entraîné par le confinement et la fermeture des cafés et restaurants. Les conditions météorologiques restent néanmoins le facteur dominant du recul de la production végétale, en particulier de celle de céréales (– 8,9 %). La valeur de la production animale décroît plus modérément de 0,9 %, la hausse des volumes ne compensant pas entièrement la baisse des prix.Dans le même temps, les consommations intermédiaires des agriculteurs diminuent de 2,0 % du fait essentiellement de la moindre consommation d’engrais et de la baisse des prix de l’énergie. De même que la production, la valeur ajoutée de la branche agricole se replie. Au total, d’après les estimations du compte provisoire de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif diminuerait de 3,3 % en 2020 en termes réels, après une baisse de 5,1 % en 2019."
Agriculture,https://www.insee.fr/fr/statistiques/4996514,Le compte prévisionnel de l’agriculture pour 2020,"En 2020, la production agricole en valeur diminue de 2,1 %. La crise sanitaire a globalement moins touché l’agriculture que les autres activités économiques, même si l’impact sur les conditions de production des filières est bien réel. Ses effets sur la demande sont ambigus du fait du report de la consommation entraîné par le confinement et la fermeture des cafés et restaurants. La situation sanitaire en cette fin d’année pourrait accentuer cette baisse. Les conditions météorologiques sont néanmoins le facteur dominant du recul de la production végétale, en particulier de celle de céréales (– 12,1 %). La valeur de la production animale décroît également, à un rythme plus modéré : la hausse des volumes ne compense pas entièrement la baisse des prix.Dans le même temps, les charges des agriculteurs évoluent peu (+ 0,3 %), les prix restant relativement stables. Dès lors, de même que la production, la valeur ajoutée de la branche agricole se replie. Au total, d’après les estimations du compte prévisionnel de l’agriculture, la valeur ajoutée brute au coût des facteurs par actif diminuerait de 6,5 % en 2020 en termes réels, après une baisse de 4,3 % en 2019."
